date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:55	9603/9603	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Apr%202020%2016:12:59%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/logo3.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/logo3.png	(from http://zircona.wgl-demo.net/)
18:03:57	122/122	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jun%202020%2005:55:08%20GMT	http://zircona.wgl-demo.net/wp-content/plugins/revslider/public/assets/assets/transparent.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/plugins/revslider/public/assets/assets/transparent.png	(from http://zircona.wgl-demo.net/)
18:04:01	718967/718967	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2014:56:33%20GMT	http://zircona.wgl-demo.net/home-1/	D:/demo/template/product/zircona.wgl-demo.net/home-1/index.html	(from http://zircona.wgl-demo.net/)
18:04:05	628736/628736	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2017:08:28%20GMT	http://zircona.wgl-demo.net/about-us/	D:/demo/template/product/zircona.wgl-demo.net/about-us/index.html	(from http://zircona.wgl-demo.net/)
18:04:08	24297/24297	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:34%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-01.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-01.png	(from http://zircona.wgl-demo.net/)
18:04:10	4686/4686	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:37%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-03.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-03.png	(from http://zircona.wgl-demo.net/)
18:04:11	540420/540420	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2016:49:26%20GMT	http://zircona.wgl-demo.net/services/	D:/demo/template/product/zircona.wgl-demo.net/services/index.html	(from http://zircona.wgl-demo.net/)
18:04:13	2837/2837	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:39%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-05.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-05.png	(from http://zircona.wgl-demo.net/)
18:04:17	520261/520261	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2018:54:41%20GMT	http://zircona.wgl-demo.net/our-team/	D:/demo/template/product/zircona.wgl-demo.net/our-team/index.html	(from http://zircona.wgl-demo.net/)
18:04:19	465754/465754	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202020%2013:26:13%20GMT	http://zircona.wgl-demo.net/team/tobby-may/	D:/demo/template/product/zircona.wgl-demo.net/team/tobby-may/index.html	(from http://zircona.wgl-demo.net/)
18:04:20	1748/1748	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:40%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-06.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-06.png	(from http://zircona.wgl-demo.net/)
18:04:29	567656/567656	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2018:49:47%20GMT	http://zircona.wgl-demo.net/faq/	D:/demo/template/product/zircona.wgl-demo.net/faq/index.html	(from http://zircona.wgl-demo.net/)
18:04:29	603606/603606	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2017:41:00%20GMT	http://zircona.wgl-demo.net/our-philosophy/	D:/demo/template/product/zircona.wgl-demo.net/our-philosophy/index.html	(from http://zircona.wgl-demo.net/)
18:04:30	4968/4968	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:36%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-02.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-02.png	(from http://zircona.wgl-demo.net/)
18:04:45	1038375/1038375	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2018:56:03%20GMT	http://zircona.wgl-demo.net/elements/	D:/demo/template/product/zircona.wgl-demo.net/elements/index.html	(from http://zircona.wgl-demo.net/)
18:04:45	1036193/1036193	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2018:56:45%20GMT	http://zircona.wgl-demo.net/typography/	D:/demo/template/product/zircona.wgl-demo.net/typography/index.html	(from http://zircona.wgl-demo.net/)
18:04:45	318260/318260	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2005:55:08%20GMT	http://zircona.wgl-demo.net/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.2.10	D:/demo/template/product/zircona.wgl-demo.net/wp-content/plugins/revslider/public/assets/js/rs6.minb038.js	(from http://zircona.wgl-demo.net/)
18:04:46	1526/1526	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:38%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-04.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_4-04.png	(from http://zircona.wgl-demo.net/)
18:04:52	275575/275575	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2023:31:16%20GMT	http://zircona.wgl-demo.net/blog-listing/	D:/demo/template/product/zircona.wgl-demo.net/blog-listing/index.html	(from http://zircona.wgl-demo.net/)
18:04:53	377405/377405	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:12:10%20GMT	http://zircona.wgl-demo.net/blog-grid/	D:/demo/template/product/zircona.wgl-demo.net/blog-grid/index.html	(from http://zircona.wgl-demo.net/)
18:04:54	353854/353854	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202020%2018:27:50%20GMT	http://zircona.wgl-demo.net/grid-2-columns/	D:/demo/template/product/zircona.wgl-demo.net/grid-2-columns/index.html	(from http://zircona.wgl-demo.net/)
18:04:59	349179/349179	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:57:50%20GMT	http://zircona.wgl-demo.net/grid-2-columns-sidebar/	D:/demo/template/product/zircona.wgl-demo.net/grid-2-columns-sidebar/index.html	(from http://zircona.wgl-demo.net/)
18:04:59	24140/24140	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:24%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_1-01.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_1-01.png	(from http://zircona.wgl-demo.net/)
18:04:59	23610/23610	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:26%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_1-02.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_1-02.png	(from http://zircona.wgl-demo.net/)
18:05:04	8049/8049	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:27%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_1-03.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_1-03.png	(from http://zircona.wgl-demo.net/)
18:05:06	382613/382613	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202020%2013:13:20%20GMT	http://zircona.wgl-demo.net/blog-masonry/	D:/demo/template/product/zircona.wgl-demo.net/blog-masonry/index.html	(from http://zircona.wgl-demo.net/)
18:05:07	373678/373678	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:59:00%20GMT	http://zircona.wgl-demo.net/grid-4-columns/	D:/demo/template/product/zircona.wgl-demo.net/grid-4-columns/index.html	(from http://zircona.wgl-demo.net/)
18:05:12	16148/16148	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:29%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_2-02.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_2-02.png	(from http://zircona.wgl-demo.net/)
18:05:12	354366/354366	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:57:45%20GMT	http://zircona.wgl-demo.net/2-columns-sidebar/	D:/demo/template/product/zircona.wgl-demo.net/2-columns-sidebar/index.html	(from http://zircona.wgl-demo.net/)
18:05:15	7276/7276	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:31%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_2-03.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_2-03.png	(from http://zircona.wgl-demo.net/)
18:05:19	531926/531926	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2019:00:10%20GMT	http://zircona.wgl-demo.net/2020/04/10/transforming-challenges-into-opportunities/	D:/demo/template/product/zircona.wgl-demo.net/2020/04/10/transforming-challenges-into-opportunities/index.html	(from http://zircona.wgl-demo.net/)
18:05:20	43794/43794	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:28%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_2-01.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_2-01.png	(from http://zircona.wgl-demo.net/)
18:05:22	530710/530710	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:58:04%20GMT	http://zircona.wgl-demo.net/2020/04/10/in-depth-industry-ecosystem-analysis/	D:/demo/template/product/zircona.wgl-demo.net/2020/04/10/in-depth-industry-ecosystem-analysis/index.html	(from http://zircona.wgl-demo.net/)
18:05:24	10057/10057	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:32%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_2-04.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_2-04.png	(from http://zircona.wgl-demo.net/)
18:05:28	530901/530901	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:58:16%20GMT	http://zircona.wgl-demo.net/2020/04/10/5-questions-for-connected-product-ux/	D:/demo/template/product/zircona.wgl-demo.net/2020/04/10/5-questions-for-connected-product-ux/index.html	(from http://zircona.wgl-demo.net/)
18:05:31	7064/7064	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Apr%202020%2021:18:28%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/info-box_m.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/info-box_m.png	(from http://zircona.wgl-demo.net/)
18:05:31	20484/20484	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2023:02:33%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_3.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home-2_slider_3.png	(from http://zircona.wgl-demo.net/)
18:05:32	529225/529225	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:59:07%20GMT	http://zircona.wgl-demo.net/2020/04/10/ways-to-manage-content-in-wordpress-2/	D:/demo/template/product/zircona.wgl-demo.net/2020/04/10/ways-to-manage-content-in-wordpress-2/index.html	(from http://zircona.wgl-demo.net/)
18:05:35	10138/10138	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Apr%202020%2010:59:47%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/info-box_c.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/info-box_c.png	(from http://zircona.wgl-demo.net/)
18:05:38	3342/3342	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Apr%202020%2021:33:50%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/info-box_i.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/info-box_i.png	(from http://zircona.wgl-demo.net/)
18:05:39	529559/529559	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202020%2017:37:28%20GMT	http://zircona.wgl-demo.net/2020/04/10/how-to-use-fomo-to-increase-conversions/	D:/demo/template/product/zircona.wgl-demo.net/2020/04/10/how-to-use-fomo-to-increase-conversions/index.html	(from http://zircona.wgl-demo.net/)
18:05:42	529865/529865	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:58:30%20GMT	http://zircona.wgl-demo.net/2020/04/10/ways-to-manage-content-in-wordpress/	D:/demo/template/product/zircona.wgl-demo.net/2020/04/10/ways-to-manage-content-in-wordpress/index.html	(from http://zircona.wgl-demo.net/)
18:05:44	6450/6450	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Apr%202020%2021:29:20%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/info-box_a.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/info-box_a.png	(from http://zircona.wgl-demo.net/)
18:05:47	530408/530408	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202020%2021:13:49%20GMT	http://zircona.wgl-demo.net/2020/04/10/the-future-of-api-development/	D:/demo/template/product/zircona.wgl-demo.net/2020/04/10/the-future-of-api-development/index.html	(from http://zircona.wgl-demo.net/)
18:05:50	387871/387871	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2017:42:46%20GMT	http://zircona.wgl-demo.net/portfolio-grid/	D:/demo/template/product/zircona.wgl-demo.net/portfolio-grid/index.html	(from http://zircona.wgl-demo.net/)
18:05:52	384209/384209	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202020%2021:14:32%20GMT	http://zircona.wgl-demo.net/portfolio-2-col/	D:/demo/template/product/zircona.wgl-demo.net/portfolio-2-col/index.html	(from http://zircona.wgl-demo.net/)
18:05:54	367261/367261	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:58:23%20GMT	http://zircona.wgl-demo.net/portfolio-4-col-wide/	D:/demo/template/product/zircona.wgl-demo.net/portfolio-4-col-wide/index.html	(from http://zircona.wgl-demo.net/)
18:05:55	6756/6756	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202020%2000:22:07%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home_1-03.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home_1-03.png	(from http://zircona.wgl-demo.net/)
18:05:57	369140/369140	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:57:48%20GMT	http://zircona.wgl-demo.net/portfolio-5-col-wide/	D:/demo/template/product/zircona.wgl-demo.net/portfolio-5-col-wide/index.html	(from http://zircona.wgl-demo.net/)
18:05:58	7172/7172	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202020%2000:22:10%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home_1-05.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home_1-05.png	(from http://zircona.wgl-demo.net/)
18:06:00	389259/389259	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2018:57:57%20GMT	http://zircona.wgl-demo.net/portfolio-masonry/	D:/demo/template/product/zircona.wgl-demo.net/portfolio-masonry/index.html	(from http://zircona.wgl-demo.net/)
18:06:01	5612/5612	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202020%2000:22:09%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home_1-04.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home_1-04.png	(from http://zircona.wgl-demo.net/)
18:06:04	386466/386466	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:58:13%20GMT	http://zircona.wgl-demo.net/portfolio-masonry-2/	D:/demo/template/product/zircona.wgl-demo.net/portfolio-masonry-2/index.html	(from http://zircona.wgl-demo.net/)
18:06:06	4994/4994	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202020%2000:22:12%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/home_1-06.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/home_1-06.png	(from http://zircona.wgl-demo.net/)
18:06:06	386519/386519	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:58:41%20GMT	http://zircona.wgl-demo.net/portfolio-masonry-3/	D:/demo/template/product/zircona.wgl-demo.net/portfolio-masonry-3/index.html	(from http://zircona.wgl-demo.net/)
18:06:12	380774/380774	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:58:07%20GMT	http://zircona.wgl-demo.net/portfolio-gallery/	D:/demo/template/product/zircona.wgl-demo.net/portfolio-gallery/index.html	(from http://zircona.wgl-demo.net/)
18:06:12	387610/387610	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Nov%202020%2008:58:57%20GMT	http://zircona.wgl-demo.net/portfolio-masonry-4/	D:/demo/template/product/zircona.wgl-demo.net/portfolio-masonry-4/index.html	(from http://zircona.wgl-demo.net/)
